SciLifeID,SampleID,perfusate,Litter,soil,start_date
P17752_1001,MQ1,MQ,No,Rosinedal_Ctrl,2020-01-13
P17752_1002,MQ2,MQ,No,Rosinedal_Ctrl,2020-01-13
P17752_1003,MQ4,MQ,No,Rosinedal_Ctrl,2020-01-13
P17752_1004,S1,Sucrose,No,Rosinedal_Ctrl,2020-01-13
P17752_1005,S3,Sucrose,No,Rosinedal_Ctrl,2020-01-13
P17752_1006,S4,Sucrose,No,Rosinedal_Ctrl,2020-01-13
P17752_1007,S5,Sucrose,No,Rosinedal_Ctrl,2020-01-13
P17752_1008,LMQ1,MQ,Yes,Rosinedal_Ctrl,2020-01-20
P17752_1009,LMQ2,MQ,Yes,Rosinedal_Ctrl,2020-01-20
P17752_1010,LMQ3,MQ,Yes,Rosinedal_Ctrl,2020-01-20
P17752_1011,LMQ4,MQ,Yes,Rosinedal_Ctrl,2020-01-20
P17752_1012,LMQ5,MQ,Yes,Rosinedal_Ctrl,2020-01-20
P17752_1013,LS1,Sucrose,Yes,Rosinedal_Ctrl,2020-01-20
P17752_1014,LS2,Sucrose,Yes,Rosinedal_Ctrl,2020-01-21
P17752_1015,LS3,Sucrose,Yes,Rosinedal_Ctrl,2020-01-22
P17752_1016,LS4,Sucrose,Yes,Rosinedal_Ctrl,2020-01-23
P17752_1017,LS5,Sucrose,Yes,Rosinedal_Ctrl,2020-01-24
P17752_1018,Mock,NA,NA,NA,NA
P17752_1019,H2O,NA,NA,NA,NA
